onset	duration	text	kommentar	loc_besch	w_class	function	grammar
399.023	0.3	sieht			VVFIN		
399.323	0.2	vor			APPR		
399.523	0.1	sich			PRF		
399.623	0.2	hin			PTKVZ		
407.523	0.8	Forrest		mname	NE		
408.323	0.5	setzt#sein	###		PPOSAT		
408.823	0.4	rotes			ADJA		
409.223	1.2	Bubba-Gump-Shrimp-Cappy		object	NN		
410.423	0.2	auf			PTKVZ		
413.623	0.4	und			KON		
414.023	0.2	steht			VVFIN		
414.223	0.1	auf			PTKVZ		
418.223	0.4	er			PPER		
418.623	0.2	steigt			VVFIN		
418.823	0.1	von			APPR		
418.923	0.3	der			ART		
419.223	0.4	Veranda		roomgeo	NN		
421.323	0.3	auf			APPR		
421.623	0.2	dem			ART		
421.823	0.4	Rasen		geo	NN		
422.223	0.3	beginnt			VVFIN		
422.523	0.1	er			PPER		
422.623	0.1	zu			PTKZU		
422.723	0.5	laufen			VVINF		
423.223	1.2	wird			VAFIN		
424.423	0.3	schneller			ADJD		
424.723	1.2	und			KON		
425.923	0.4	rennt			VVFIN		
426.323	0.0	die			ART		
426.323	0.4	Zufahrt		geo	NN		
426.723	0.4	entlang			PTKVZ		
427.923	30.0	Forrest		mname	NE		
457.923	0.2	kommt			VVFIN		
458.123	0.1	nach			APPR		
458.223	0.3	Mississippi		setting_new	NE		
458.523	3.7	auf			APPR		
462.223	0.2	der			ART		
462.423	0.2	Wartebank		setting_rec		NN	
462.623	6.7	in			APPR		
469.323	0.3	Santa			###		
469.623	0.5	Monica		setting_new	NE		
470.123	0.3	läuft			VVFIN		
470.423	0.3	Forrest		mname	NE		
470.723	0.1	auf			APPR		
470.823	0.2	dem			ART		
471.023	0.2	Pier		geo	NN		
471.223	0.2	bis			APPR		
471.423	0.2	zum			APPRART		
471.623	0.4	Geländer		roomgeo	NN		
472.023	0.2	am			APPRART		
472.223	0.3	Ende			NN		
472.523	0.3	er			PPER		
472.823	0.1	hat			VAFIN		
472.923	0.2	etwas			ADV		
473.123	0.4	längere			ADJA		
473.523	0.0	Haare		head	NN		
473.523	0.5	und			KON		
474.023	0.2	einen			ART		
474.223	0.3	Vollbart		face	NN		
474.523	7.2	Forrest		mname	NE		
481.723	0.3	erreicht			VVFIN		
482.023	0.2	einen			ART		
482.223	0.3	kleinen			ADJA		
482.523	0.4	Leuchtturm		geo	NN		
482.923	0.3	am			APPRART		
483.223	0.5	Atlantik		setting_new	NE		
484.523	16.8	auf			APPR		
501.323	0.2	der			ART		
501.523	0.5	Wartebank		setting_rec		NN	
502.023	1.4	er			PPER		
503.423	0.2	sieht			VVFIN		
503.623	0.1	die			ART		
503.723	0.1	Frau		female	NN		
503.823	0.2	an			PTKVZ		
504.023	11.2	Forrest		mname	NE		
515.223	0.3	läuft			VVFIN		
515.523	0.1	an			APPR		
515.623	0.2	einem			ART		
515.823	0.2	Fluss		setting_new		NN	
516.023	0.3	entlang			PTKVZ		
516.323	0.6	unter			APPR		
516.923	0.3	seinem			PPOSAT		
517.223	0.3	Cappy#lugt	###		VVFIN		
517.523	0.4	sein			PPOSAT		
517.923	0.6	nacken-langes			ADJA		
518.523	0.2	Haar		head	NN		
518.723	0.3	hervor			PTKVZ		
519.823	0.5	zwischen			APPR		
520.323	0.3	reifen			ADJA		
520.623	0.7	Weizenfeldern		setting_new		NN	
521.323	0.3	läuft			VVFIN		
521.623	0.1	er			PPER		
521.723	0.1	auf			APPR		
521.823	0.3	einer			ART		
522.123	0.4	einsamen			ADJA		
522.523	0.6	schnurgeraden			ADJA		
523.123	0.6	Straße		geo	NN		
523.723	1.2	auf			APPR		
524.923	0.3	einer			ART		
525.223	0.8	Feldstein-Brücke		setting_new		NN	
526.023	0.5	überquert			VVFIN		
526.523	0.1	er			PPER		
526.623	0.3	einen			ART		
526.923	0.4	klaren			ADJA		
527.323	0.2	Fluss		geo	NN		
527.523	0.7	im			APPRART		
528.223	0.3	Hintergrund			NN		
528.523	0.8	schneebedeckte			ADJA		
529.323	0.1	Gipfel		geo	NN		
529.423	0.4	der			ART		
529.823	0.2	Rocky			###		
530.023	0.2	Mountains		setting_new	NE		
535.523	0.4	in			APPR		
535.923	0.3	kurzer			ADJA		
536.223	0.1	Hose		body	NN		
536.323	0.5	läuft			VVFIN		
536.823	0.1	er			PPER		
536.923	0.1	mit			APPR		
537.023	0.2	fast			ADV		
537.223	0.5	schulterlangem			ADJA		
537.723	0.1	Haar		head	NN		
537.823	0.3	auf			APPR		
538.123	0.2	einer			ART		
538.323	0.5	Landstraße		setting_new		NN	
539.723	0.5	Forrest		mname	NE		
540.223	0.3	kommt			VVFIN		
540.523	0.1	in			APPR		
540.623	0.7	gleichbleibendem			ADJA		
541.323	0.3	Tempo			NN		
541.623	0.2	an			APPR		
541.823	0.2	einem			ART		
542.023	0.2	Wald		setting_new		NN	
542.223	0.2	vorbei			PTKVZ		
542.423	0.4	das			ART		
542.823	0.2	Laub			NN		
543.023	0.5	leuchtet			VVFIN		
543.523	0.3	gelb			ADJD		
543.823	0.5	orange			ADJA		
544.323	0.2	und			KON		
544.523	0.3	rot			ADJA		
544.823	12.4	in			APPR		
557.223	0.4	Greenbow			NE		
557.623	0.2	beim			APPRART		
557.823	0.3	Friseur		setting_rec	NN		
558.123	10.1	Jenny		fname	NE		
568.223	0.4	bedient			VVFIN		
568.623	0.1	in			APPR		
568.723	0.2	einem			ART		
568.923	0.2	Restaurant		setting_new	NN		
569.123	23.8	die			ART		
592.923	0.4	Reporter		persons	NN		
593.323	0.1	müssen			VMFIN		
593.423	0.7	mitlaufen			VVIZU		
594.123	4.5	in			APPR		
598.623	0.2	einem			ART		
598.823	0.3	Ort		setting_new	NN		
599.123	0.2	ein			ART		
599.323	0.2	junger#Mann	###		NN		
599.623	1.2	hängt			VVFIN		
600.823	0.0	sich			PRF		
600.823	0.2	an			APPR		
601.023	0.2	seine			PPOSAT		
601.223	0.3	Fersen			NN		
601.523	18.8	mit			APPR		
620.323	0.5	Abstand			NN		
620.823	0.2	folgen			VVFIN		
621.023	0.2	ihm			PPER		
621.223	0.3	fünf			CARD		
621.523	0.3	Leute			NN		
621.823	5.5	in			APPR		
627.323	0.1	der			ART		
627.423	0.3	Wüste		setting_new	NN		
627.723	0.2	trabt			VVFIN		
627.923	0.2	eine			ART		
628.123	0.3	lange			ADJA		
628.423	0.6	Läuferschlange			NN		
629.023	0.3	hinter			APPR		
629.323	0.1	ihm			PPER		
629.423	0.1	her			ADV		
659.623	4.1	der			ART		
663.723	0.2	Mann		male	NN		
663.923	0.3	bleibt			VVFIN		
664.223	0.6	nachdenklich			ADJD		
664.823	0.2	stehen			VVINF		
665.023	7.3	ein			ART		
672.323	0.4	Autoaufkleber		object	NN		
672.723	0.5	shit			ADJD		
673.223	0.2	happens			ADV		
673.423	15.5	Forrest#drückt	###		VVFIN		
688.923	0.2	sich			PRF		
689.123	0.1	das			ART		
689.223	0.3	gelbe			ADJA		
689.523	0.4	T-Shirt		object	NN		
689.923	0.2	ins			APPRART		
690.123	0.2	verdreckte			ADJA		
690.323	0.5	Gesicht		face	NN		
690.823	0.1	und			KON		
690.923	0.2	gibt			VVFIN		
691.123	0.1	es			PPER		
691.223	0.1	zurück			PTKVZ		
691.323	0.6	darauf			PROAV		
691.923	0.2	ein			ART		
692.123	0.7	Smiley-Abdruck			NN		
692.823	11.0	Forrest		mname	NE		
703.823	0.3	läuft			VVFIN		
704.123	0.1	mit			APPR		
704.223	0.2	seinen			PPOSAT		
704.423	0.5	Anhängern		persons	NN		
704.923	0.0	durch			APPR		
704.923	0.3	eine			ART		
705.223	0.3	Steppe		setting_new	NN		
705.523	5.2	im			APPRART		
710.723	0.5	Hintergrund			NN		
711.223	0.5	Tafelberge		geo	NN		
719.623	10.9	er			PPER		
730.523	0.2	bleibt			VVFIN		
730.723	0.4	stehen			VVINF		
731.123	0.8	ein			ART		
731.923	0.3	gutes			ADJA		
732.223	0.1	Stück			NN		
732.323	0.4	hinter			APPR		
732.723	0.1	ihm			PPER		
732.823	0.4	stoppt			VVFIN		
733.223	0.1	auch			ADV		
733.323	0.2	die			ART		
733.523	0.1	Gruppe			NN		
733.623	0.4	der			ART		
734.023	0.1	rund			ADV		
734.123	0.4	50			CARD		
734.523	0.3	Männer		males	NN		
734.823	0.0	und			KON		
734.823	0.5	Frauen		females	NN		
735.323	0.1	die			ART		
735.423	0.1	ihm			PPER		
735.523	0.4	gefolgt			VVPP		
735.923	0.1	sind			VAFIN		
736.023	1.0	sein			PPOSAT		
737.023	0.3	welliges			ADJA		
737.323	0.1	Haar		head	NN		
737.423	0.5	unter			APPR		
737.923	0.2	dem			ART		
738.123	0.3	Käppi		head	NN		
738.423	0.3	reicht			VVFIN		
738.723	0.2	bis			APPR		
738.923	0.1	zu			APPR		
739.023	0.2	den			ART		
739.223	0.6	Schulterblättern		body	NN		
739.823	0.4	sein			PPOSAT		
740.223	0.5	zotteliger			ADJA		
740.723	0.2	Bart		face	NN		
740.923	0.3	bis			APPR		
741.223	0.1	auf			APPR		
741.323	0.1	die			ART		
741.423	0.3	Brust		body	NN		
741.723	0.5	er			PPER		
742.223	0.2	dreht			VVFIN		
742.423	0.0	sich			PRF		
742.423	0.3	um			PTKVZ		
742.723	5.2	Forrest		mname	NE		
747.923	0.3	sieht			VVFIN		
748.223	0.2	zu			APPR		
748.423	0.2	den			ART		
748.623	0.1	Leuten			NN		
748.723	0.6	hinüber			ADV		
749.323	0.5	er			PPER		
749.823	0.3	trägt			VVFIN		
750.123	0.2	eine			ART		
750.323	0.1	blaue			ADJA		
750.423	0.6	Trainingsjacke		body	NN		
751.023	0.3	mit			APPR		
751.323	0.4	brauner			ADJA		
751.723	0.1	Hose		body	NN		
751.823	0.7	darüber			PROAV		
752.523	0.2	eine			ART		
752.723	0.3	weite			ADJA		
753.023	0.6	Regenjacke		body	NN		
754.523	10.2	mit			APPR		
764.723	0.4	schleppenden			ADJA		
765.123	0.4	Schritten			NN		
765.523	0.2	geht			VVFIN		
765.723	0.2	er			PPER		
765.923	0.1	auf			APPR		
766.023	0.2	die			ART		
766.223	0.1	Gruppe			NN		
766.323	0.3	zu			PTKVZ		
772.223	3.6	die			ART		
775.823	0.3	Leute			NN		
776.123	0.4	weichen			VVFIN		
776.523	0.1	nach			APPR		
776.623	0.3	links			ADV		
776.923	0.2	und			KON		
777.123	0.0	rechts			ADV		
777.123	0.4	aus			APZR		
