onset	duration	text	kommentar	loc_besch	loc_erw	w_class	function	grammar
629.300	16.400	sie				PPER		
645.700	0.200	geht				VVFIN		
645.900	29.900	im				APPRART		
675.800	0.400	Fernsehen		setting_new		NN		
676.200	0.300	Elvis				NE		
676.500	0.500	Presley		mname		NE		
680.600	3.400	er				PPER		
684.000	0.300	tanzt				VVFIN		
684.300	0.100	wie				KOKOM		
684.400	0.400	Forrest		mname		NN		
684.800	0.500	dabei				PROAV		
685.300	0.400	schwingt				VVFIN		
685.700	0.100	er				PPER		
685.800	0.500	lasziv				VVFIN		
686.300	0.200	die				ART		
686.500	0.400	Hüften		bodypart		NN		
686.900	3.300	sie				PPER		
690.200	0.200	geht				VVFIN		
690.400	0.700	Forrest		mname		NN		
691.100	0.300	sieht				VVFIN		
691.400	0.300	weiter				ADV		
691.700	0.700	fasziniert				ADJD		
692.400	0.100	zu				APPR		
692.500	0.300	Elvis		mname		NE		
692.800	9.700	an				APPR		
702.500	0.200	der				ART		
702.700	0.400	Haltestelle		setting_rec;geo		NN		
703.100	3.300	die				ART		
706.400	0.700	Krankenschwester		female		NN		
707.100	0.200	sieht				VVFIN		
707.300	0.200	wieder				ADV		
707.500	0.100	in				APPR		
707.600	0.200	ihre				PPOSAT		
707.800	0.500	Zeitschrift		object		NN		
709.000	8.100	an				APPR		
717.100	0.100	einer				ART		
717.200	0.400	Straße		setting_new;geo		NN		
717.600	0.300	hält				VVFIN		
717.900	0.100	ein				ART		
718.000	0.100	Schulbus		object		NN		
718.100	5.900	die				ART		
724.000	0.500	rauchende				ADJA		
724.500	0.600	Busfahrerin		female		NN		
725.100	0.200	sieht				VVFIN		
725.300	0.400	Forrest		mname		NN		
725.700	0.100	an				PTKVZ		
725.800	8.200	Forrest#bleibt		#	#	#		
734.000	0.500	unschlüssig				ADJD		
734.500	0.200	vor				APPR		
734.700	0.100	der				ART		
734.800	0.200	Tür		roomgeo		NN		
735.000	0.300	stehen				VVINF		
735.300	10.400	Dorothy#schmunzelt#Forrest#steigt		#	#	#		
745.700	0.200	etwas				ADV		
745.900	0.500	mühsam				ADJD		
746.400	0.100	mit				APPR		
746.500	0.300	seinem				PPOSAT		
746.800	0.600	Beinschienen		bodypart		NN		
747.400	0.100	ein				PTKVZ		
750.100	2.100	er				PPER		
752.200	0.200	geht				VVFIN		
752.400	0.100	durch				APPR		
752.500	0.200	den				ART		
752.700	0.300	fast				ADV		
753.000	0.300	vollbesetzten				ADJA		
753.300	0.500	Bus		locale		NN		
753.800	0.300	und				KON		
754.100	0.200	blickt				VVFIN		
754.300	0.100	auf				APPR		
754.400	0.300	zwei				CARD		
754.700	0.300	Jungs		males		NN		
755.000	0.100	in				APPR		
755.100	0.200	einer				ART		
755.300	0.100	Bank		furniture		NN		
755.400	5.300	der				ART		
760.700	0.200	Platz		object		NN		
760.900	0.200	neben				APPR		
761.100	0.300	ihm				PPER		
761.400	0.100	ist				VAFIN		
761.500	0.300	leer				ADJD		
761.800	0.900	Forrest		mname		NN		
762.700	0.200	sieht				VVFIN		
762.900	0.200	ein				ART		
763.100	0.200	Mädchen		female		NN		
763.300	0.300	an				APPR		
763.600	0.100	das				ART		
763.700	0.300	neben				APPR		
764.000	0.200	einem				ART		
764.200	0.300	anderen				PIS		
764.500	0.400	sitzt				VVFIN		
764.900	0.200	es				PPER		
765.100	0.300	schüttelt				VVFIN		
765.400	0.100	den				ART		
765.500	0.100	Kopf		head		NN		
765.600	0.800	weit				ADJD		
766.400	0.300	hinten				ADV		
766.700	0.200	sitzt				VVFIN		
766.900	0.100	ein				ART		
767.000	0.300	Junge		male		NN		
767.300	0.100	auch				ADV		
767.400	0.400	allein				ADV		
767.800	0.100	in				APPR		
767.900	0.200	einer				ART		
768.100	0.200	Bank		furniture		NN		
768.300	27.300	ein				ART		
795.600	0.500	zierliches				ADJA		
796.100	0.400	blondes				ADJA		
796.500	0.400	Mädchen		female		NN		
796.900	0.200	schaut				VVFIN		
797.100	0.200	ihn				PPER		
797.300	0.100	an				PTKVZ		
797.400	11.000	Forrest		male		NN		
808.400	0.800	setzt#sich		#	#	#		
809.200	0.300	und				KON		
809.500	0.600	senkt#verlegen		#	#	#		
810.100	0.300	den				ART		
810.400	0.200	Blick				NN		
810.600	28.700	sie				PPER		
839.300	0.200	gibt				VVFIN		
839.500	0.100	ihm				PPER		
839.600	0.100	die				ART		
839.700	0.300	Hand		bodypart		NN		
840.000	8.500	sie				PPER		
848.500	0.300	laufen				VVFIN		
848.800	0.200	zu				APPR		
849.000	0.100	einer				ART		
849.100	0.400	Eiche		geo		NN		
849.500	7.200	er				PPER		
856.700	0.200	hängt				VVFIN		
856.900	0.100	mit				APPR		
857.000	0.300	einer				ART		
857.300	0.200	Hand		bodypart		NN		
857.500	0.100	am				APPRART		
857.600	0.300	Ast		object		NN		
857.900	6.700	hängt				VVFIN		
864.600	0.400	kopfüber				PTKVZ		
865.000	0.400	im				APPRART		
865.400	0.200	Baum		geo		NN		
870.100	4.500	auf				APPR		
874.600	0.200	dem				ART		
874.800	0.100	Baum		geo		NN		
874.900	0.300	nimmt				VVFIN		
875.200	0.100	sie				PPER		
875.300	0.300	seine				PPOSAT		
875.600	0.200	Hand		bodypart		NN		
875.800	0.100	auf				APPR		
875.900	10.200	der				ART		
886.100	0.200	Wartebank		setting_rec;furniture		NN		
886.300	0.500	blickt				VVFIN		
886.800	0.400	Forrest		mname		NN		
887.200	0.400	traurig				ADJD		
887.600	0.200	vor				APPR		
887.800	0.100	sich				PRF		
887.900	0.200	hin				ADV		
888.100	2.100	die				ART		
890.200	0.600	Krankenschwester		female		NN		
890.800	0.200	sieht				VVFIN		
891.000	0.500	ungerührt				ADJD		
891.500	0.200	in				APPR		
891.700	0.200	ihre				PPOSAT		
